Cog,Status,Likely Source Repo,Repo URL,Confidence,Notes
activitylog,Loaded,Trusty-cogs,https://github.com/TrustyJAID/Trusty-cogs,High,TrustyJAID activitylog cog
antispam,Loaded,Toxic-Cogs,https://github.com/NeuroAssassin/Toxic-Cogs,Medium,NeuroAssassin antispam cog
cooldown,Loaded,FlameCogs,https://github.com/Flame442/FlameCogs,Medium,Flame442 cooldown cog
editor,Loaded,Laggrons-Cogs,https://github.com/retke/Laggrons-Dumb-Cogs,Medium,Possibly Laggron's editor/instantcmd
embedmaker,Loaded,Dav-Cogs,https://github.com/Dav-Git/Dav-Cogs,Low,Uncertain - possible match
exporttree,Loaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom TL cog
extendedmodlog,Loaded,Trusty-cogs,https://github.com/TrustyJAID/Trusty-cogs,High,Well-known TrustyJAID cog
infochannel,Loaded,PCXCogs,https://github.com/PhasecoreX/PCXCogs,High,PhasecoreX infochannel cog
lockdown,Loaded,flare-cogs,https://github.com/flaree/Flare-Cogs,High,Flare lockdown cog
lseen,Loaded,aikaterna-cogs,https://github.com/aikaterna/aikaterna-cogs,High,Aikaterna last seen cog
maintenance,Loaded,PCXCogs,https://github.com/PhasecoreX/PCXCogs,Medium,PCX maintenance cog
massrole,Loaded,Laggrons-Cogs,https://github.com/retke/Laggrons-Dumb-Cogs,High,Laggron's massrole cog
mentionhelp,Loaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom TL cog
moreadmin,Loaded,flare-cogs,https://github.com/flaree/Flare-Cogs,Medium,Flare moreadmin cog
mutes,Loaded,brandons209,https://github.com/brandons209/Red-bot-Cogs,Medium,brandons209 mutes cog
mutesP,Loaded,tl,https://github.com/dgarner-cg/tl-cogs,Medium,Patched/custom version in TL repo
partycrash,Loaded,tl,https://github.com/dgarner-cg/tl-cogs,Medium,Likely custom TL cog
reports,Loaded,Trusty-cogs,https://github.com/TrustyJAID/Trusty-cogs,Medium,TrustyJAID reports cog
rolemanagement,Loaded,Dav-Cogs,https://github.com/Dav-Git/Dav-Cogs,Medium,Dav-Git rolemanagement cog
roletools,Loaded,Trusty-cogs,https://github.com/TrustyJAID/Trusty-cogs,High,TrustyJAID roletools cog
serverstats,Loaded,Fixator10-Cogs,https://github.com/fixator10/Fixator10-Cogs,Medium,Fixator serverstats cog
streamroles,Loaded,PCXCogs,https://github.com/PhasecoreX/PCXCogs,High,PCX streamroles cog
streams,Loaded,Trusty-cogs,https://github.com/TrustyJAID/Trusty-cogs,High,TrustyJAID streams cog
targeter,Loaded,flare-cogs,https://github.com/flaree/Flare-Cogs,High,Flare targeter cog
ticketer,Loaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Possibly custom TL cog
timerole,Loaded,Laggrons-Cogs,https://github.com/retke/Laggrons-Dumb-Cogs,High,Laggron's timerole cog
translate,Loaded,Trusty-cogs,https://github.com/TrustyJAID/Trusty-cogs,High,TrustyJAID translate cog
userlog,Loaded,Fixator10-Cogs,https://github.com/fixator10/Fixator10-Cogs,Medium,Fixator userlog cog
adventure,Unloaded,adventurerepo,https://github.com/aikaterna/gobcog,High,Goblins Adventure cog fork
adventurealert,Unloaded,adventurerepo,https://github.com/aikaterna/gobcog,High,Companion alert cog for gobcog adventure
birthdays,Unloaded,SauriCogs,https://github.com/elijabesu/SauriCogs,High,SauriCogs birthdays cog
captcha,Unloaded,Laggrons-Cogs,https://github.com/retke/Laggrons-Dumb-Cogs,Medium,Laggron's captcha cog
casino,Unloaded,jumperplugins,https://github.com/Redjumpman/Jumper-Plugins,High,Redjumpman casino cog
channelmanagementP,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Medium,Patched/custom version in TL repo
clashroyaleclans,Unloaded,legendv3,https://github.com/Legend-Gaming/legendv3-cogs,High,Legend Gaming CR clans cog
clashroyaleclansv2,Unloaded,legendv3,https://github.com/Legend-Gaming/legendv3-cogs,High,Legend Gaming CR clans v2 cog
clashroyalestats,Unloaded,legendv3,https://github.com/Legend-Gaming/legendv3-cogs,High,Legend Gaming CR stats cog
cleanupDEBUG,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Medium,Debug variant - likely custom TL cog
cleanupP,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Medium,Patched version of cleanup in TL repo
commandchart,Unloaded,Fixator10-Cogs,https://github.com/fixator10/Fixator10-Cogs,Medium,Fixator commandchart cog
compliment,Unloaded,aikaterna-cogs,https://github.com/aikaterna/aikaterna-cogs,Medium,Aikaterna compliment cog
cresports,Unloaded,legendv3,https://github.com/Legend-Gaming/legendv3-cogs,High,Legend Gaming CR esports cog
crmisc,Unloaded,legendv3,https://github.com/Legend-Gaming/legendv3-cogs,High,Legend Gaming CR misc cog
crtoolsdb,Unloaded,legendv3,https://github.com/Legend-Gaming/legendv3-cogs,High,Legend Gaming CR tools DB cog
crtoolsdbDEBUG,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Medium,Debug variant - likely custom TL cog
datautils,Unloaded,Fixator10-Cogs,https://github.com/fixator10/Fixator10-Cogs,Medium,Fixator datautils cog
embedinvite,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom TL cog
fameldb,Unloaded,legendv3,https://github.com/Legend-Gaming/legendv3-cogs,High,Legend Gaming fame leaderboard cog
feedback,Unloaded,SauriCogs,https://github.com/elijabesu/SauriCogs,Medium,SauriCogs feedback cog
forward,Unloaded,Trusty-cogs,https://github.com/TrustyJAID/Trusty-cogs,Medium,TrustyJAID forward cog
